regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,AL,,2022-06-30,3337357.0,305248.0,490,6953,1
Nordeste,BA,,2022-06-30,14873064.0,1576509.0,3720,30031,6
Nordeste,CE,,2022-06-30,9132078.0,1266399.0,1734,27186,6
Nordeste,MA,,2022-06-30,7075181.0,443241.0,170,10896,1
Nordeste,PB,,2022-06-30,4018127.0,618602.0,1405,10254,2
Nordeste,PE,,2022-06-30,9557071.0,976385.0,3601,21867,6
Nordeste,PI,,2022-06-30,3273227.0,372612.0,394,7764,2
Nordeste,RN,,2022-06-30,3506853.0,526479.0,1142,8267,10
Nordeste,SE,,2022-06-30,2298696.0,330327.0,253,6358,0
