regiao,estado,municipio,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,AL,,2020-12-31,53,3337357.0,104818,319,2489,7
Nordeste,BA,,2020-12-31,53,14873064.0,493400,2862,9129,29
Nordeste,CE,,2020-12-31,53,9132078.0,335091,2629,9990,6
Nordeste,MA,,2020-12-31,53,7075181.0,200938,189,4500,5
Nordeste,PB,,2020-12-31,53,4018127.0,166484,1058,3672,12
Nordeste,PE,,2020-12-31,53,9557071.0,222166,1882,9654,42
Nordeste,PI,,2020-12-31,53,3273227.0,142672,721,2837,10
Nordeste,RN,,2020-12-31,53,3506853.0,118083,1179,2993,9
Nordeste,SE,,2020-12-31,53,2298696.0,112505,770,2484,8
