estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
AL,2020-03-01,0,0,0,0
BA,2020-03-01,0,0,0,0
CE,2020-03-01,0,0,0,0
MA,2020-03-01,0,0,0,0
PB,2020-03-01,0,0,0,0
PE,2020-03-01,0,0,0,0
PI,2020-03-01,0,0,0,0
RN,2020-03-01,0,0,0,0
SE,2020-03-01,0,0,0,0
SE,2020-04-01,20,1,0,0
RN,2020-04-01,92,10,2,1
PI,2020-04-01,18,0,4,0
PE,2020-04-01,95,8,8,2
BA,2020-04-01,246,33,2,0
MA,2020-04-01,52,21,1,0
CE,2020-04-01,444,54,8,1
AL,2020-04-01,18,0,1,0
PB,2020-04-01,20,3,1,1
PI,2020-05-01,600,87,24,0
SE,2020-05-01,517,70,14,2
RN,2020-05-01,1297,120,56,0
PE,2020-05-01,7334,458,603,38
BA,2020-05-01,3085,234,117,13
MA,2020-05-01,3506,316,204,20
CE,2020-05-01,7879,273,505,23
AL,2020-05-01,1226,182,53,6
PB,2020-05-01,926,112,67,5
SE,2020-06-01,7233,234,166,8
RN,2020-06-01,7964,562,323,18
PI,2020-06-01,5119,188,168,7
PE,2020-06-01,34900,450,2875,68
PB,2020-06-01,13695,533,370,10
CE,2020-06-01,50504,2015,3188,178
BA,2020-06-01,18898,506,701,34
AL,2020-06-01,10837,549,461,18
MA,2020-06-01,35297,658,976,21
PE,2020-07-01,59705,847,4894,65
RN,2020-07-01,31899,1612,1067,33
PI,2020-07-01,22059,1637,686,23
PB,2020-07-01,48175,1218,1002,25
SE,2020-07-01,25915,504,701,25
CE,2020-07-01,113017,4318,6180,34
BA,2020-07-01,76485,3178,1902,49
AL,2020-07-01,36819,857,1072,20
MA,2020-07-01,83256,2805,2081,33
RN,2020-08-01,51557,1141,1879,102
PI,2020-08-01,52458,981,1354,25
PE,2020-08-01,96746,1741,6597,40
PB,2020-08-01,83461,667,1833,22
SE,2020-08-01,59724,1011,1448,14
CE,2020-08-01,175928,2046,7698,30
BA,2020-08-01,168926,2772,3517,54
AL,2020-08-01,60992,1267,1581,14
MA,2020-08-01,121581,920,3032,19
SE,2020-09-01,72721,193,1867,10
RN,2020-09-01,61991,243,2265,9
PI,2020-09-01,77859,454,1843,18
PE,2020-09-01,127287,1748,7614,21
PB,2020-09-01,106605,827,2465,15
CE,2020-09-01,216333,1380,8447,38
BA,2020-09-01,259418,2691,5448,51
AL,2020-09-01,79258,454,1895,8
MA,2020-09-01,152681,1066,3457,11
SE,2020-10-01,77635,195,2040,4
RN,2020-10-01,69715,282,2395,2
PI,2020-10-01,96849,763,2127,0
PE,2020-10-01,147872,701,8279,28
CE,2020-10-01,241684,525,9023,29
MA,2020-10-01,174195,631,3766,10
BA,2020-10-01,312050,1524,6795,51
AL,2020-10-01,87504,625,2078,6
PB,2020-10-01,121809,542,2835,11
SE,2020-11-01,84362,36,2211,5
RN,2020-11-01,81312,136,2578,1
PE,2020-11-01,162977,84,8632,5
PB,2020-11-01,133220,71,3107,6
PI,2020-11-01,113546,255,2404,4
CE,2020-11-01,274341,156,9360,7
BA,2020-11-01,354043,886,7645,23
AL,2020-11-01,90820,31,2242,4
MA,2020-11-01,185917,90,4061,8
RN,2020-12-01,95660,537,2695,7
AL,2020-12-01,95152,168,2341,2
BA,2020-12-01,406189,3118,8293,25
CE,2020-12-01,301414,787,9629,17
MA,2020-12-01,193550,380,4305,9
PB,2020-12-01,145794,541,3305,10
PE,2020-12-01,184259,1853,9056,19
PI,2020-12-01,127686,672,2634,10
SE,2020-12-01,90386,238,2312,4
